lat,lon,name,address
20.9641832,105.8521104,Công viên yên sở,"Công viên Yên Sở, Quốc lộ 1A, Gamuda Central, Hoàng Mai, Hà Nội"
21.0109407,105.8398112,Công viên thống nhất,"Công viên Thống Nhất, Đường Lê Duẩn, Lê Đại Hành, Đống Đa, Hà Nội"
21.0305852,105.8029267,Công viên thủ lệ,"Công viên Thủ Lệ, Đường Bưởi, Ngọc Khánh, Ba Đình, Hà Nội"
21.0648871,105.7848884,Công viên hòa bình,"Công viên Hòa Bình, Phạm Văn Đồng, phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
21.0729874,105.8146983,Công viên nước Hồ Tây,"Công viên nước Hồ Tây, Đường Lạc Long Quân, Nhật Tân, Tây Hồ, Hà Nội"
20.9987766,105.7309648,Công Viên Thiên Đường Bảo Sơn,"Công Viên Thiên Đường Bảo Sơn, Đường Lê Trọng Tấn, An Khánh, Hoài Đức, Hà Nội"
21.0406927,105.7936077,Công viên Nghĩa Đô,"Công viên Nghĩa Đô, Đường Nguyễn Văn Huyên, Dịch Vọng, Cầu Giấy, Hà Nội"
21.0274403,105.8521309,Vườn hoa Lý Thái Tổ,"Vườn hoa Lý Thái Tổ, Phố Đinh Tiên Hoàng, French Quarter, Tràng Tiền, Hoàn Kiếm, Hà Nội"
21.0315402,105.8370131,Vườn hoa Lênin,"Công Viên Lênin, Điện Biên Phủ, Điện Biên, Ba Đình, Hà Nội"
21.0116899,105.7887855,Công viên Văn hóa Đống Đa,"Công viên Văn hóa Đống Đa, Phố Đặng Tiến Đông, Quang Trung, Đống Đa, Hà Nội"
21.014186,105.8569358,Vườn Hoa Pasteur,"Vườn Hoa Pasteur, Phố Trần Thánh Tông, Phạm Đình Hồ, Hai Bà Trưng, Hà Nội"
21.0277497,105.8086246,Hồ Ngọc Khánh,"Hồ Ngọc Khánh, Ngọc Khánh, Ba Đình, Hà Nội"
21.029358, 105.852400,Hồ Gươm,"Hồ Gươm, Phố Lê Thái Tổ, Hàng Trống, Hoàn Kiếm, Hà Nội"
21.0580708,105.8032222,Hồ Tây 1,"Hồ Tây, Tây Hồ, Hà Nội"
21.062036, 105.812149,Hồ Tây 2,"Hồ Tây, Tây Hồ, Hà Nội"
21.046676, 105.817900,Hồ Tây 3,"Hồ Tây, Tây Hồ, Hà Nội"
21.045088, 105.834050,Hồ Tây 4,"Hồ Tây, Tây Hồ, Hà Nội"
21.051217, 105.835552,Hồ Tây 5,"Hồ Tây, Tây Hồ, Hà Nội"
21.044153, 105.839281,Hồ Tây 6,"Hồ Tây, Tây Hồ, Hà Nội"
21.046439, 105.837500,Hồ Tây 7,"Hồ Tây, Tây Hồ, Hà Nội"
21.058177, 105.828317,Hồ Tây 8,"Hồ Tây, Tây Hồ, Hà Nội"
