administrative_genre,name,acreage,population,density,lat,lon,average_price,num_of_ward
quận, 1,7.73,205180,26.54333764553687,10.7758185,106.6746633,479.0,10
quận, 2,49.74,168680,3.3912344189786894,10.7801993,106.6672393,80.838,11
quận, 3,4.92,196433,39.92540650406504,10.7792895,106.6605243,290.6,14
quận, 4,4.18,203060,48.578947368421055,10.760791,106.6835672,164.4,15
quận, 5,4.27,1871510,438.2927400468384,10.75584,106.6687925,236.869,15
quận, 6,7.19,258945,36.01460361613352,10.745512,106.6174777,113.0,14
quận, 7,35.69,324620,9.095544970579994,10.7377413,106.6459374,97.999,10
quận, 8,19.18,451290,23.529197080291972,10.7230408,106.5629719,84.5,18
quận, 9,114.0,397000,3.482456140350877,10.8212918,106.5944797,41.8,13
quận, 10,5.72,372450,65.11363636363636,10.7727594,106.6488281,237.0,15
quận, 11,5.14,332536,64.69571984435798,10.7659455,106.6478695,160.0,16
quận, 12,52.78,520175,9.855532398635846,10.8615571,106.578293,43.9,11
quận, bình thạnh,20.76,490618,23.632851637764933,10.8121355,106.7176694,149.18,20
quận, thủ đức,48.0,524670,10.930625,10.8204551,106.6250253,49.5,12
quận, gò vấp,19.74,663313,33.60248226950355,10.8354061,106.666493,87.5,16
quận, phú nhuận,4.88,182477,37.39282786885246,10.8009085,106.6588938,180.0,15
quận, tân bình,22.38,470350,21.016532618409293,10.8036291,106.6120724,146.9,15
quận, tân phú,16.06,464493,28.92235367372354,10.7915391,106.5862039,83.13,11
quận, bình tân,51.89,702650,13.54114472923492,10.7694778,106.509337,60.9,10
huyện, nhà bè,100.0,175360,1.7536,10.6511589,106.5635049,31.9,7
huyện, hóc môn,109.0,442471,4.059366972477064,10.8779988,106.4290112,26.5,12
huyện, bình chánh,253.0,680000,2.6877470355731226,10.7498695,106.4145057,32.1,16
huyện, củ chi,435.0,403038,0.9265241379310345,11.037515,106.506464,9.3,21
huyện, cần giờ,704.0,74960,0.10647727272727273,10.523331,106.5440306,10.185,7
